2026-04-08 06:29:25 | INFO | kuairand_rec.train_rank | Saved val ranked candidates: /scratch/ym3447/Rec/artifacts/rank_smoke/val_ranked.parquet rows=20000
2026-04-08 06:29:25 | INFO | kuairand_rec.train_rank | Saved rank inference metrics: /scratch/ym3447/Rec/artifacts/metrics/rank_metrics_smoke.json
2026-04-08 06:29:25 | INFO | kuairand_rec.train_rank | Rank inference metrics summary: {'val': {'num_candidates': 20000, 'num_users': 200, 'positive_any': 85, 'long_watch_auc': 0.5120219757498781, 'long_watch_logloss': 0.14811028746514077, 'finish_auc': 0.5747098625352705, 'finish_logloss': 0.0805498160305835, 'like_auc': 0.28356417820891044, 'like_logloss': 0.03759656444219788, 'rank_auc': 0.5068133685811759, 'ndcg@10': 0.010001771745036666, 'ndcg@20': 0.016436230902837006, 'mrr@10': 0.0067222222222222214}}
2026-04-08 06:30:23 | INFO | kuairand_rec.train_rank | Training DIN-style multi-task ranker.
2026-04-08 06:41:30 | INFO | kuairand_rec.train_rank | Prepared rank datasets: train=(908395, 84) val=(93915, 84) features_numeric=64 other_cats=10
2026-04-08 06:41:34 | INFO | kuairand_rec.train_rank | Training DIN ranker on device=cuda train_rows=908395 val_rows=93915 numeric=64 other_cats=10
2026-04-08 06:41:48 | INFO | kuairand_rec.train_rank | DIN rank epoch 1/4 train_loss=0.473017 val_metrics={'loss': 2.3526195883750916, 'long_watch_auc': 0.5302295720872761, 'long_watch_logloss': 1.3807860635144853, 'finish_auc': 0.6184760526866641, 'finish_logloss': 0.7791301055216066, 'like_auc': 0.5723113331102994, 'like_logloss': 0.06473326653674795, 'rank_auc': 0.5310552065642858}
2026-04-08 06:42:02 | INFO | kuairand_rec.train_rank | DIN rank epoch 2/4 train_loss=0.162288 val_metrics={'loss': 2.858958820501963, 'long_watch_auc': 0.5284029893501971, 'long_watch_logloss': 1.501995165268798, 'finish_auc': 0.6023591686887386, 'finish_logloss': 0.809062810753004, 'like_auc': 0.586870271488856, 'like_logloss': 0.06476526192090237, 'rank_auc': 0.5290698522971395}
2026-04-08 06:42:16 | INFO | kuairand_rec.train_rank | DIN rank epoch 3/4 train_loss=0.150210 val_metrics={'loss': 3.0334187150001526, 'long_watch_auc': 0.5258548236889966, 'long_watch_logloss': 1.5223189878174568, 'finish_auc': 0.5904222959684551, 'finish_logloss': 0.8054352495619843, 'like_auc': 0.5891083049461908, 'like_logloss': 0.06370120251580444, 'rank_auc': 0.5261806012027361}
2026-04-08 06:42:16 | INFO | kuairand_rec.train_rank | Early stopping triggered at epoch 3.
2026-04-08 06:42:16 | INFO | kuairand_rec.train_rank | Saved rank checkpoint: /scratch/ym3447/Rec/artifacts/rank/best_model.pt
2026-04-08 06:42:16 | INFO | kuairand_rec.train_rank | Saved rank train metrics: /scratch/ym3447/Rec/artifacts/metrics/rank_metrics.json
2026-04-08 06:42:16 | INFO | kuairand_rec.train_rank | Rank training metrics summary: {'train_rows': 908395, 'val_rows': 93915, 'train_positive_any': 189434, 'val_positive_any': 10435, 'best': {'epoch': 1, 'train_loss': 0.4730174835469272, 'loss': 2.3526195883750916, 'long_watch_auc': 0.5302295720872761, 'long_watch_logloss': 1.3807860635144853, 'finish_auc': 0.6184760526866641, 'finish_logloss': 0.7791301055216066, 'like_auc': 0.5723113331102994, 'like_logloss': 0.06473326653674795, 'rank_auc': 0.5310552065642858}}
2026-04-08 06:42:16 | INFO | kuairand_rec.train_rank | Generating ranked candidates for splits=['val', 'test']
2026-04-08 06:44:42 | INFO | kuairand_rec.train_rank | Ranked val chunk 1 rows=300000 device=cuda
2026-04-08 06:45:23 | INFO | kuairand_rec.train_rank | Ranked val chunk 2 rows=300000 device=cuda
2026-04-08 06:46:04 | INFO | kuairand_rec.train_rank | Ranked val chunk 3 rows=300000 device=cuda
2026-04-08 06:46:45 | INFO | kuairand_rec.train_rank | Ranked val chunk 4 rows=300000 device=cuda
2026-04-08 06:47:27 | INFO | kuairand_rec.train_rank | Ranked val chunk 5 rows=300000 device=cuda
